İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
121128-494,13 Gün Önce,Satılık,Daire,3 + 1,125 m2,4. Kat,5 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Hayır,Mamak,Hürel,280.000 TL
116325-139,5 Gün Önce,Satılık,Daire,3 + 1,120 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),7 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,130 TL,Hayır,Sincan,Saraycık,339.000 TL
22633-2971,27 Gün Önce,Satılık,Daire,3 + 1,105 m2,3. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,40 TL,,Altındağ,Aydınlıkevler,340.000 TL
121320-112,7 Gün Önce,Satılık,Daire,1 + 1,70 m2,7. Kat,1 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Uygun,Eşyalı Değil,1,Çelik,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,200 TL,Evet,Yenimahalle,Batı Sitesi,340.000 TL
4937-5180,4 Gün Önce,Satılık,Daire,3 + 1,110 m2,Giriş Katı,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Ehlibeyt,440.000 TL
113466-253,26 Gün Önce,Satılık,Daire,3 + 1,115 m2,2. Kat,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,Kat Mülkiyeti,50 TL,Hayır,Mamak,Kutlu,318.000 TL
120612-26,15 Gün Önce,Satılık,Daire,4 + 1,165 m2,3. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,,Ev Sahibi Oturuyor,Kat Mülkiyeti,125 TL,Hayır,Çankaya,Sancak,1.250.000 TL
26004-15127,15 Gün Önce,Satılık,Daire,3 + 1,155 m2,7. Kat,7 Yaşında,Merkezi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,40 TL,Hayır,Keçiören,Etlik,505.000 TL
16354-20797,9 Gün Önce,Satılık,Daire,3 + 1,135 m2,2. Kat,16 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Keçiören,Etlik,375.000 TL
14431-9191,3 Gün Önce,Satılık,Daire,3 + 1,135 m2,3. Kat,25 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Keçiören,19 Mayıs,345.000 TL
16761-28152,13 Gün Önce,Satılık,Daire,3 + 1,135 m2,1. Kat,25 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,375 TL,Hayır,Çankaya,Aziziye,459.000 TL
115614-519,13 Gün Önce,Satılık,Daire,4 + 1,195 m2,3. Kat,3 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Evet,Keçiören,Atapark,435.000 TL
86604-5359,21 Gün Önce,Satılık,Daire,3 + 1,116 m2,3. Kat,9 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,150 TL,Hayır,Etimesgut,Yapracık,260.000 TL
4901-2035,14 Gün Önce,Satılık,Daire,4 + 1,165 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Keçiören,Ovacık,475.000 TL
83304-2159,5 Gün Önce,Satılık,Daire,3 + 1,160 m2,2. Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,Altındağ,Aydınlıkevler,600.000 TL
4901-2122,14 Gün Önce,Satılık,Daire,3 + 1,130 m2,4. Kat,4 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,40 TL,Evet,Keçiören,Yükseltepe,359.000 TL
2640-2293,18 Gün Önce,Satılık,Daire,4 + 1,185 m2,21 ve üzeri,Sıfır Bina,Merkezi (Pay Ölçer),29 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,265 TL,Hayır,Etimesgut,Eryaman,1.025.000 TL
