İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
67085-874,218 Gün Önce,Satılık,Daire,2 + 1,85 m2,Zemin,32 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,25 TL,Hayır,Keçiören,Şenlik,168.000 TL
122234-22,47 Gün Önce,Satılık,Daire,5 + 1,247 m2,3. Kat,1 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Uygun,Eşyalı Değil,3,,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Çankaya,Çayyolu,2.600.000 TL
122234-16,54 Gün Önce,Satılık,Daire,4 + 1,203 m2,19. Kat,Sıfır Bina,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,3,,Sıfır,Boş,,,Hayır,Çankaya,Beytepe,1.685.000 TL
122234-14,55 Gün Önce,Satılık,Daire,3 + 1,176 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),7 Katlı,Uygun,Eşyalı Değil,2,,Sıfır,Boş,,,Hayır,Çankaya,Beytepe,1.490.000 TL
122234-29,8 Gün Önce,Satılık,Daire,4 + 1,243 m2,11. Kat,Sıfır Bina,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,3,,Sıfır,Boş,,,Hayır,Çankaya,Çayyolu,2.200.000 TL
91527-8906,4 Gün Önce,Satılık,Daire,3 + 1,130 m2,1. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Çankaya,Ata,529.000 TL
16354-21044,Bugün,Satılık,Daire,4 + 1,317 m2,20. Kat,Sıfır Bina,Merkezi (Pay Ölçer),27 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Keçiören,Ovacık,1.100.000 TL
36828-3450,Bugün,Satılık,Daire,4 + 1,190 m2,16. Kat,1 Yaşında,Merkezi,16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Etimesgut,Bağlıca,925.000 TL
37380-3520,11 Gün Önce,Satılık,Residence,6 + 1,576 m2,4. Kat,Sıfır Bina,Merkezi (Pay Ölçer),6 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Çankaya,Beytepe,4.850.000 TL
4901-2147,7 Gün Önce,Satılık,Daire,4 + 1,250 m2,12. Kat,Sıfır Bina,Merkezi (Pay Ölçer),27 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,200 TL,Evet,Keçiören,Ovacık,1.100.000 TL
74395-199,8 Gün Önce,Satılık,Residence,4 + 1,225 m2,1. Kat,Sıfır Bina,Kombi,25 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,200 TL,Evet,Mamak,General Zeki Doğan,825.000 TL
91527-8926,4 Gün Önce,Satılık,Daire,3 + 1,140 m2,3. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Çankaya,Karapınar,550.000 TL
74395-181,6 Gün Önce,Satılık,Daire,4 + 1,225 m2,1. Kat,Sıfır Bina,Kombi,25 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Yapım Aşamasında,Boş,Kat İrtifakı,200 TL,Evet,Mamak,General Zeki Doğan,900.000 TL
122845-54,5 Gün Önce,Satılık,Daire,3 + 1,120 m2,3. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Mamak,Hürel,189.000 TL
34908-1293,Bugün,Satılık,Daire,3 + 1,128 m2,2. Kat,36 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,80 TL,Evet,Yenimahalle,Demetgül,299.000 TL
1145-2054,130 Gün Önce,Satılık,Daire,5 + 1,215 m2,3. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Yapım Aşamasında,Boş,Kat İrtifakı,,Evet,Çankaya,Emek,1.800.000 TL
53451-1455,Bugün,Satılık,Daire,3 + 1,130 m2,1. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,,Kat Mülkiyeti,30 TL,,Yenimahalle,Tepealtı,345.000 TL
97798-930,3 Gün Önce,Satılık,Daire,4 + 1,188 m2,9. Kat,Sıfır Bina,Merkezi,12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,300 TL,Hayır,Etimesgut,Bağlıca,985.000 TL
122542-1,40 Gün Önce,Satılık,Müstakil Ev,6 + 1,342 m2,,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Hayır,Çankaya,Yaşamkent,1.625.000 TL
28880-3513,Bugün,Satılık,Daire,4 + 1,185 m2,7. Kat,5 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,Etimesgut,Bağlıca,929.000 TL
97366-918,Bugün,Satılık,Daire,4 + 1,198 m2,3. Kat,2 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,250 TL,Hayır,Etimesgut,Bağlıca,1.200.000 TL
2602-7831,Bugün,Satılık,Daire,3 + 1,125 m2,Giriş Katı,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Metin Akkuş,295.000 TL
18354-8704,Dün,Satılık,Villa,3 + 2,160 m2,,15 Yaşında,Kombi,13 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Yenimahalle,İlkyerleşim,540.000 TL
692609-3852,Bugün,Satılık,Daire,3 + 1,175 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,22,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,Etimesgut,Yeşilova,650.000 TL
66647-593,Dün,Satılık,Villa,7 + 2,524 m2,,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,5,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Pursaklar,Merkez,2.180.000 TL
39997-3950,Bugün,Satılık,Daire,5 + 2,351 m2,21 ve üzeri,3 Yaşında,Merkezi (Pay Ölçer),25 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Gölbaşı,İncek,1.685.000 TL
39997-4064,Bugün,Satılık,Daire,4 + 1,175 m2,4. Kat,Sıfır Bina,Merkezi (Pay Ölçer),17 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Çankaya,Konutkent,765.000 TL
14072-11407,Bugün,Satılık,Daire,3 + 1,125 m2,2. Kat,24 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Çankaya,Harbiye,449.000 TL
91527-8865,Bugün,Satılık,Daire,2 + 1,110 m2,1. Kat,23 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,40 TL,Hayır,Çankaya,İlkadım,398.000 TL
122265-177,Dün,Satılık,Daire,3 + 1,150 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Mamak,Şahintepe,356.000 TL
15878-12156,Bugün,Satılık,Daire,4 + 1,220 m2,6. Kat,Sıfır Bina,Kombi,15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Keçiören,Yükseltepe,720.000 TL
97366-920,Bugün,Satılık,Daire,4 + 1,195 m2,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,,Yapım Aşamasında,Boş,,,Hayır,Etimesgut,Bağlıca,1.150.000 TL
1442-9788,Bugün,Satılık,Daire,3 + 1,128 m2,4. Kat,12 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat İrtifakı,130 TL,Hayır,Yenimahalle,Turgut Özal,400.000 TL
120171-244,Bugün,Satılık,Daire,3 + 1,120 m2,1. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,20 TL,Evet,Sincan,Akşemsettin,239.000 TL
2603-4132,Bugün,Satılık,Daire,3 + 1,150 m2,1. Kat,35 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,400 TL,Hayır,Çankaya,Kavaklıdere,620.000 TL
68373-1020,Bugün,Satılık,Daire,3 + 1,120 m2,Yüksek Giriş,30 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Sincan,Fatih,185.000 TL
1955-6256,Bugün,Satılık,Daire,4 + 1,170 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Evet,Keçiören,İncirli,325.000 TL
10557-2775,Bugün,Satılık,Daire,3 + 1,140 m2,Kot 2,13 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,60 TL,Hayır,Çankaya,Karapınar,390.000 TL
121128-290,Bugün,Satılık,Daire,3 + 1,105 m2,Yüksek Giriş,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Mamak,Şahintepe,207.000 TL
118304-314,Dün,Satılık,Daire,4 + 1,190 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Evet,Keçiören,Ovacık,670.000 TL
3420-8530,Bugün,Satılık,Daire,2 + 1,142 m2,19. Kat,Sıfır Bina,Merkezi (Pay Ölçer),26 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,Çankaya,İlkbahar,1.100.000 TL
46993-913,Bugün,Satılık,Daire,3 + 1,130 m2,3. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Aşıkpaşa,390.000 TL
121721-11,Bugün,Satılık,Daire,3 + 1,130 m2,Giriş Katı,16 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,40 TL,Hayır,Keçiören,Ayvalı,285.000 TL
120171-197,Bugün,Satılık,Daire,3 + 1,130 m2,4. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Sincan,Akşemsettin,185.000 TL
119551-126,Bugün,Satılık,Daire,3 + 1,130 m2,2. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,,Keçiören,Şehit Kubilay,430.000 TL
1264-4897,Bugün,Satılık,Daire,3 + 1,168 m2,11. Kat,11 Yaşında,Merkezi,11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,260 TL,Hayır,Etimesgut,Şeyh Şamil,750.000 TL
68373-1022,Bugün,Satılık,Daire,3 + 1,110 m2,5. Kat,35 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Sincan,Ulubatlı Hasan,190.000 TL
16087-2658,Bugün,Satılık,Daire,2 + 1,100 m2,Kot 1,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Ev Sahibi Oturuyor,Kat Mülkiyeti,20 TL,Evet,Keçiören,Etlik,198.000 TL
3004-1377,Dün,Satılık,Daire,3 + 1,115 m2,Yüksek Giriş,25 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Belirtilmemiş,Kat Mülkiyeti,380 TL,Hayır,Çankaya,Güvenevler,430.000 TL
39997-4047,Dün,Satılık,Daire,6 + 1,350 m2,15. Kat,12 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,535 TL,Hayır,Çankaya,Yaşamkent,1.750.000 TL
16407-8039,Bugün,Satılık,Daire,3 + 1,130 m2,2. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Sincan,Selçuklu,315.000 TL
23862-12389,Bugün,Satılık,Daire,2 + 1,85 m2,2. Kat,8 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,117 TL,Evet,Etimesgut,Yapracık,169.000 TL
4110-2032,Bugün,Satılık,Daire,3 + 1,232 m2,2. Kat,1 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,Çankaya,Bademlidere,1.100.000 TL
56045-3099,Bugün,Satılık,Daire,4 + 2,260 m2,15. Kat,5 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Keçiören,Yayla,850.000 TL
22633-3045,Bugün,Satılık,Daire,2 + 1,100 m2,2. Kat,40 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Yığma,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,40 TL,Hayır,Altındağ,Aydınlıkevler,340.000 TL
3286-7204,Bugün,Satılık,Daire,3 + 1,115 m2,3. Kat,28 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Çankaya,Harbiye,419.000 TL
26004-15495,Bugün,Satılık,Daire,3 + 1,175 m2,9. Kat,4 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,270 TL,Hayır,Keçiören,Etlik,665.000 TL
122265-195,Bugün,Satılık,Daire,2 + 1,100 m2,Kot 2,14 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Mamak,General Zeki Doğan,145.000 TL
26004-15223,Bugün,Satılık,Daire,4 + 1,200 m2,13. Kat,Sıfır Bina,Merkezi (Pay Ölçer),21 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,150 TL,Hayır,Keçiören,Etlik,675.000 TL
1350-2959,Bugün,Satılık,Daire,3 + 1,130 m2,Yüksek Giriş,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Pursaklar,Fatih,269.000 TL
67191-2621,Bugün,Satılık,Daire,3 + 1,125 m2,3. Kat,14 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,160 TL,Evet,Etimesgut,Yavuz Selim,355.000 TL
120612-25,Bugün,Satılık,Daire,3 + 1,125 m2,1. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,125 TL,Hayır,Çankaya,Sancak,495.000 TL
37640-6752,Bugün,Satılık,Daire,2 + 1,85 m2,Bahçe Katı,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,Etimesgut,Elvan,125.000 TL
91527-8846,Bugün,Satılık,Daire,3 + 1,120 m2,2. Kat,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,40 TL,Evet,Çankaya,Naci Çakır,449.000 TL
4367-5231,Dün,Satılık,Daire,4 + 1,165 m2,3. Kat,35 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,420 TL,Hayır,Çankaya,Güvenevler,610.000 TL
122317-11,Bugün,Satılık,Daire,4 + 1,225 m2,3. Kat,11 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Çankaya,Birlik,750.000 TL
33002-6650,Bugün,Satılık,Daire,3 + 1,160 m2,5. Kat,1 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Polatlı,Şentepe,350.000 TL
14994-11608,Bugün,Satılık,Daire,4 + 1,200 m2,Teras Katı,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Etimesgut,Topçu,315.000 TL
2220-7805,Bugün,Satılık,Daire,4 + 1,190 m2,6. Kat,2 Yaşında,Merkezi (Pay Ölçer),18 Katlı,Uygun,Eşyalı Değil,2,İkinci El,Boş,Kat Mülkiyeti,830 TL,Hayır,Doğalgaz,Etimesgut,Fatih Sultan,1.650.000 TL
37957-14641,Bugün,Satılık,Daire,3 + 1,160 m2,9. Kat,2 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,200 TL,Hayır,Yenimahalle,Ata,710.000 TL
8316-1867,Bugün,Satılık,Daire,4 + 1,200 m2,2. Kat,18 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,80 TL,Hayır,Çankaya,Sancak,550.000 TL
2412-2584,Dün,Satılık,Daire,3 + 1,110 m2,1. Kat,45 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,510 TL,Hayır,Çankaya,100. Yıl,450.000 TL
64542-12745,Bugün,Satılık,Daire,3 + 1,150 m2,6. Kat,Sıfır Bina,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,50 TL,Evet,Yenimahalle,Turgut Özal,649.000 TL
118800-74,Bugün,Satılık,Daire,3 + 1,145 m2,6. Kat,6 Yaşında,Merkezi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,250 TL,Hayır,Gölbaşı,Seğmenler,710.000 TL
23862-12396,Bugün,Satılık,Daire,3 + 1,137 m2,1. Kat,7 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,155 TL,Hayır,Etimesgut,Yapracık,210.000 TL
108434-44,Bugün,Satılık,Daire,3 + 1,172 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,200 TL,Hayır,Etimesgut,Turkuaz,500.000 TL
101486-697,Bugün,Satılık,Daire,4 + 1,185 m2,8. Kat,Sıfır Bina,Merkezi,14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Evet,Keçiören,Uyanış,775.000 TL
47297-1896,Dün,Satılık,Daire,4 + 1,225 m2,8. Kat,1 Yaşında,Merkezi,13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,,650 TL,Hayır,Çankaya,Alacaatlı,1.250.000 TL
3004-1336,Dün,Satılık,Daire,4 + 1,170 m2,3. Kat,25 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Boş,,375 TL,Hayır,Çankaya,Ayrancı,590.000 TL
110339-581,Bugün,Satılık,Daire,2 + 1,105 m2,Kot 2,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Mamak,Cengizhan,170.000 TL
122265-168,Dün,Satılık,Daire,3 + 1,160 m2,3. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,25 TL,Hayır,Mamak,Şahintepe,283.000 TL
14431-9231,Dün,Satılık,Daire,4 + 1,210 m2,1. Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Keçiören,İncirli,517.000 TL
9639-18635,Bugün,Satılık,Daire,3 + 1,135 m2,2. Kat,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Aydınlar,619.000 TL
96373-810,Bugün,Satılık,Daire,3 + 2,150 m2,7. Kat,Sıfır Bina,Merkezi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Çankaya,Gaziosmanpaşa,950.000 TL
16761-27834,Bugün,Satılık,Daire,3 + 1,130 m2,Yüksek Giriş,22 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,280 TL,Hayır,Çankaya,Harbiye,425.000 TL
102781-372,Bugün,Satılık,Daire,3 + 1,130 m2,3. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,90 TL,Evet,Sincan,Ertuğrulgazi,244.000 TL
5042-3042,Bugün,Satılık,Daire,3 + 1,110 m2,Giriş Katı,35 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,400 TL,Hayır,Çankaya,Yukarı Bahçelievler,440.000 TL
6266-6612,Bugün,Satılık,Daire,3 + 1,135 m2,3. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,40 TL,Hayır,Keçiören,Aşağı Eğlence,350.000 TL
18510-17838,Bugün,Satılık,Daire,3 + 1,125 m2,3. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,,Pursaklar,Fatih,319.000 TL
2250-2418,Bugün,Satılık,Daire,4 + 1,170 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Hayır,Çankaya,Bahçelievler,1.500.000 TL
35785-1808,Bugün,Satılık,Daire,4 + 1,165 m2,2. Kat,8 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Keçiören,İncirli,355.000 TL
39672-9146,Bugün,Satılık,Daire,6 + 1,250 m2,3. Kat,13 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Keçiören,Ayvalı,425.000 TL
49844-2245,Bugün,Satılık,Daire,4 + 1,220 m2,6. Kat,Sıfır Bina,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,200 TL,Evet,Gölbaşı,Bahçelievler,740.000 TL
95763-1190,Bugün,Satılık,Daire,4 + 1,400 m2,9. Kat,19 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,580 TL,Hayır,Çankaya,Çukurambar,1.750.000 TL
25069-1709,Bugün,Satılık,Daire,3 + 2,135 m2,1. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat İrtifakı,100 TL,Hayır,Çankaya,Bademlidere,347.000 TL
91527-8938,Bugün,Satılık,Daire,3 + 1,120 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,40 TL,Hayır,Çankaya,Harbiye,349.000 TL
122845-19,Dün,Satılık,Daire,2 + 1,95 m2,Kot 2,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,20 TL,,Mamak,Peyami Safa,112.000 TL
39672-9121,Bugün,Satılık,Daire,3 + 1,125 m2,2. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,50 TL,Evet,Keçiören,Ayvalı,545.000 TL
2744-12856,Bugün,Satılık,Daire,3 + 1,155 m2,1. Kat,22 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,450 TL,Evet,Çankaya,Naci Çakır,450.000 TL
118304-100,Bugün,Satılık,Daire,3 + 1,165 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,Keçiören,Etlik,465.000 TL
18510-17888,Bugün,Satılık,Daire,7 + 1,280 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,30 TL,Evet,Pursaklar,Fatih,425.000 TL
97366-919,Bugün,Satılık,Daire,4 + 1,195 m2,8. Kat,Sıfır Bina,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,200 TL,Hayır,Etimesgut,Bağlıca,949.000 TL
