İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
67085-874,218 Gün Önce,Satılık,Daire,2 + 1,85 m2,Zemin,32 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,25 TL,Hayır,Keçiören,Şenlik,168.000 TL
85799-1910,11 Gün Önce,Satılık,Daire,3 + 1,130 m2,Yüksek Giriş,11 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Keçiören,Kafkas,229.000 TL
16512-2119,12 Gün Önce,Satılık,Daire,3 + 1,115 m2,1. Kat,3 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,,,,,Çankaya,Bahçelievler,1.050.000 TL
84156-1655,11 Gün Önce,Satılık,Daire,3 + 1,155 m2,3. Kat,13 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,Çankaya,Akpınar,500.000 TL
26568-3463,7 Gün Önce,Satılık,Daire,3 + 1,110 m2,2. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,,Çankaya,Göktürk,300.000 TL
32358-5108,24 Gün Önce,Satılık,Daire,3 + 1,110 m2,1. Kat,1 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Mamak,Mehtap,315.000 TL
118478-139,7 Gün Önce,Satılık,Daire,2 + 1,90 m2,Bahçe Katı,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Evet,Yenimahalle,Emniyet,295.000 TL
34705-693,16 Gün Önce,Satılık,Daire,3 + 1,110 m2,1. Kat,16 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,70 TL,Hayır,Etimesgut,Topçu,220.000 TL
3420-8525,7 Gün Önce,Satılık,Daire,4 + 1,485 m2,9. Kat,20 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,Çankaya,Yukarı Dikmen,4.150.000 TL
15126-3327,11 Gün Önce,Satılık,Daire,3 + 1,105 m2,Giriş Katı,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Mamak,Fahri Korutürk,185.000 TL
15487-2323,20 Gün Önce,Satılık,Daire,5 + 1,210 m2,3. Kat,14 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,Etimesgut,Topçu,359.500 TL
