İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
51337-487,17 Gün Önce,Satılık,Daire,2 + 1,105 m2,1. Kat,12 Yaşında,Merkezi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,269 TL,Hayır,Etimesgut,Eryaman,415.000 TL
30001-6669,13 Gün Önce,Satılık,Daire,4 + 1,205 m2,20. Kat,Sıfır Bina,Merkezi (Pay Ölçer),22 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,690 TL,Hayır,Çankaya,İlkbahar,1.520.000 TL
1955-5753,24 Gün Önce,Satılık,Daire,2 + 1,110 m2,Giriş Katı,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,Keçiören,Aşağı Eğlence,185.000 TL
22633-3008,23 Gün Önce,Satılık,Daire,2 + 1,95 m2,2. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,45 TL,Hayır,Altındağ,Aydınlıkevler,385.000 TL
57329-1822,17 Gün Önce,Satılık,Daire,2 + 1,85 m2,Bahçe Katı,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Etimesgut,Elvan,128.000 TL
58275-945,24 Gün Önce,Satılık,Daire,3 + 1,110 m2,3. Kat,35 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Fakülteler,350.000 TL
46993-861,13 Gün Önce,Satılık,Daire,3 + 1,130 m2,Giriş Katı,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,50 TL,Evet,Çankaya,Bağcılar,400.000 TL
60419-388,12 Gün Önce,Satılık,Daire,3 + 1,135 m2,Yüksek Giriş,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Çankaya,Naci Çakır,330.000 TL
63124-4004,4 Gün Önce,Satılık,Villa,6 + 2,600 m2,,4 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,8,,,,,,,Çankaya,Alacaatlı,3.600.000 TL
94732-318,9 Gün Önce,Satılık,Villa,6 + 2,500 m2,,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,5,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Gölbaşı,İncek,3.950.000 TL
91270-1241,15 Gün Önce,Satılık,Daire,3 + 1,130 m2,Yüksek Giriş,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,30 TL,,Mamak,Şahintepe,155.000 TL
34109-3837,3 Gün Önce,Satılık,Daire,3 + 1,145 m2,1. Kat,10 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Mamak,Kutlu,300.000 TL
113784-296,4 Gün Önce,Satılık,Daire,4 + 1,200 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Keçiören,Ayvalı,449.000 TL
117517-23,8 Gün Önce,Satılık,Daire,3 + 1,145 m2,4. Kat,13 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,150 TL,Hayır,Etimesgut,Ahi Mesut,495.000 TL
73715-65,2 Gün Önce,Satılık,Daire,3 + 1,135 m2,Yüksek Giriş,18 Yaşında,Kat Kaloriferi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Çankaya,Öveçler,330.000 TL
3483-3469,8 Gün Önce,Satılık,Daire,3 + 1,125 m2,Giriş Katı,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Aydınlar,269.000 TL
3240-12086,10 Gün Önce,Satılık,Daire,5 + 1,300 m2,4. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,100 TL,,Çankaya,Aşağı Öveçler,1.190.000 TL
53653-1704,28 Gün Önce,Satılık,Daire,3 + 1,125 m2,1. Kat,36 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,Çankaya,Remzi Oğuz Arık,795.000 TL
95979-832,15 Gün Önce,Satılık,Daire,3 + 1,125 m2,2. Kat,14 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,25 TL,,Etimesgut,Piyade,268.000 TL
692656-417,16 Gün Önce,Satılık,Daire,3 + 1,135 m2,1. Kat,8 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat İrtifakı,40 TL,Hayır,Keçiören,Yayla,350.000 TL
114589-102,11 Gün Önce,Satılık,Daire,3 + 1,135 m2,4. Kat,Sıfır Bina,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,100 TL,,Mamak,Yeni Bayındır,300.000 TL
43512-2814,15 Gün Önce,Satılık,Daire,4 + 1,180 m2,1. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,80 TL,Hayır,Çankaya,Birlik,740.000 TL
2220-7402,2 Gün Önce,Satılık,Kooperatif,4 + 1,225 m2,,Sıfır Bina,Merkezi (Pay Ölçer),,Uygun değil,Eşyalı Değil,2,,,,,,,Sincan,Çiçektepe,79.000 TL
43936-12454,13 Gün Önce,Satılık,Daire,3 + 1,125 m2,1. Kat,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,,Yenimahalle,Yeniçağ,425.000 TL
123070-5,3 Gün Önce,Satılık,Daire,3 + 1,90 m2,Kot 1,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,Yenimahalle,Özevler,93.000 TL
43512-2666,11 Gün Önce,Satılık,Villa,5 + 2,600 m2,,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,,,,Gölbaşı,Kızılcaşar,4.500.000 TL
5679-1932,22 Gün Önce,Satılık,Daire,4 + 1,170 m2,2. Kat,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,150 TL,Hayır,Çankaya,Aşıkpaşa,650.000 TL
121626-27,23 Gün Önce,Satılık,Daire,3 + 1,135 m2,2. Kat,17 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,20 TL,Hayır,Keçiören,Kuşcağız,300.000 TL
6890-6402,26 Gün Önce,Satılık,Daire,1 + 1,55 m2,1. Kat,3 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,198 TL,,Çankaya,Yaşamkent,350.000 TL
115535-3,30 Gün Önce,Satılık,Daire,4 + 1,270 m2,Villa Katı,4 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Yapım Aşamasında,Boş,,,Hayır,Çankaya,Alacaatlı,1.150.000 TL
25058-606,28 Gün Önce,Satılık,Daire,3 + 1,100 m2,1. Kat,29 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,350 TL,Hayır,Çankaya,Maltepe,525.000 TL
1350-2950,Dün,Satılık,Daire,3 + 1,130 m2,1. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Pursaklar,Mimar Sinan,330.000 TL
6675-7892,15 Gün Önce,Satılık,Daire,3 + 1,150 m2,4. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Cevizlidere,575.000 TL
122493-36,12 Gün Önce,Satılık,Daire,4 + 1,200 m2,Ara Kat,Sıfır Bina,Merkezi (Pay Ölçer),30 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,300 TL,Hayır,Çankaya,Beytepe,1.280.000 TL
4744-9671,29 Gün Önce,Satılık,Daire,3 + 1,135 m2,Giriş Katı,25 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,,,Kiracı Oturuyor,Kat Mülkiyeti,225 TL,,Çankaya,Ümit,825.000 TL
84538-279,27 Gün Önce,Satılık,Daire,3 + 1,140 m2,2. Kat,5 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Sincan,29 Ekim,349.999 TL
16167-950,8 Gün Önce,Satılık,Daire,3 + 1,130 m2,5. Kat,15 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Evet,Yenimahalle,Turgut Özal,440.000 TL
4380-8319,21 Gün Önce,Satılık,Daire,5 + 1,300 m2,3. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Ev Sahibi Oturuyor,Kat Mülkiyeti,75 ,Evet,Çankaya,Osman Temiz,845.000 TL
2888-12657,8 Gün Önce,Satılık,Daire,4 + 1,250 m2,3. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,,,Kat Mülkiyeti,250 TL,,Çankaya,Birlik,750.000 TL
118771-57,23 Gün Önce,Satılık,Daire,3 + 1,125 m2,2. Kat,12 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat İrtifakı,30 TL,Hayır,Mamak,Peyami Safa,275.000 TL
10495-6839,23 Gün Önce,Satılık,Daire,5 + 1,230 m2,3. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Çankaya,Gaziosmanpaşa,2.300.000 TL
121128-105,6 Gün Önce,Satılık,Daire,3 + 1,105 m2,Bahçe Katı,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Hayır,Mamak,Abidinpaşa,114.900 TL
47158-1184,Dün,Satılık,Daire,1 + 1,70 m2,Bahçe Katı,20 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,"35,000 TL",Hayır,Çankaya,İncesu,127.500 TL
6664-1390,16 Gün Önce,Satılık,Daire,4 + 1,180 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Çankaya,Bahçelievler,1.450.000 TL
111219-282,27 Gün Önce,Satılık,Residence,4 + 1,210 m2,21 ve üzeri,3 Yaşında,Merkezi (Pay Ölçer),34 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,840 TL,Hayır,Gölbaşı,İncek,1.500.000 TL
122878-35,6 Gün Önce,Satılık,Daire,3 + 1,130 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,25 TL,Hayır,Çankaya,Sokullu Mehmet Paşa,445.000 TL
43512-2848,16 Gün Önce,Satılık,Çiftlik Evi,4 + 1,500 m2,,12 Yaşında,Belirtilmemiş,3 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,200 TL,Evet,Gölbaşı,Ahiboz,1.390.000 TL
26568-3280,6 Gün Önce,Satılık,Daire,1 + 1,60 m2,Giriş Katı,6 Yaşında,Kombi,25 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,225 TL,,Etimesgut,Şehit Osman Avcı,250.000 TL
35751-161,13 Gün Önce,Satılık,Daire,3 + 1,110 m2,3. Kat,40 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,İşçi Blokları,499.000 TL
114589-94,29 Gün Önce,Satılık,Daire,3 + 1,120 m2,Kot 1,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,25 TL,,Mamak,Küçük Kayaş,123.500 TL
58364-3357,23 Gün Önce,Satılık,Daire,4 + 1,200 m2,5. Kat,Sıfır Bina,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,150 TL,Evet,Keçiören,Etlik,685.000 TL
106733-478,21 Gün Önce,Satılık,Daire,1 + 1,65 m2,1. Kat,23 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,20 TL,Hayır,Yenimahalle,Ragıp Tüzün,250.000 TL
692656-410,16 Gün Önce,Satılık,Daire,4 + 1,207 m2,5. Kat,Sıfır Bina,Merkezi (Pay Ölçer),23 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat İrtifakı,350 TL,Hayır,Keçiören,Ovacık,1.100.000 TL
98624-111,8 Gün Önce,Satılık,Daire,3 + 1,125 m2,2. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Sincan,Selçuklu,2.880.000 TL
117517-85,23 Gün Önce,Satılık,Daire,2 + 1,100 m2,2. Kat,2 Yaşında,Merkezi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,130 TL,Hayır,Sincan,Saraycık,260.000 TL
2505-1023,12 Gün Önce,Satılık,Daire,2 + 1,80 m2,1. Kat,30 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,20 TL,Hayır,Yenimahalle,Varlık,290.000 TL
5832-7560,20 Gün Önce,Satılık,Daire,4 + 1,185 m2,11. Kat,4 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,Keçiören,Yükseltepe,878.000 TL
94404-782,24 Gün Önce,Satılık,Daire,3 + 1,145 m2,1. Kat,9 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Keçiören,Yayla,325.000 TL
26568-3317,5 Gün Önce,Satılık,Daire,3 + 1,120 m2,Kot 2,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,,,,,Çankaya,Doğuş,215.000 TL
86972-945,8 Gün Önce,Satılık,Daire,2 + 1,85 m2,2. Kat,Sıfır Bina,Kombi,2 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,Etimesgut,Bağlıca,579.000 TL
66820-2871,15 Gün Önce,Satılık,Daire,2 + 1,90 m2,Yüksek Giriş,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Osman Temiz,225.000 TL
56352-1450,26 Gün Önce,Satılık,Daire,3 + 1,135 m2,3. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Hayır,Altındağ,Feridun Çelik,300.000 TL
3885-710,10 Gün Önce,Satılık,Daire,3 + 1,145 m2,1. Kat,2 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,75 TL,Hayır,Altındağ,Aydınlıkevler,480.000 TL
71390-629,22 Gün Önce,Satılık,Daire,3 + 1,145 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Keçiören,Bademlik,520.000 TL
87972-1015,7 Gün Önce,Satılık,Residence,1 + 1,80 m2,Ara Kat,1 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,585 TL,Hayır,Çankaya,Mustafa Kemal,1.090.000 TL
73715-52,6 Gün Önce,Satılık,Daire,3 + 1,105 m2,Yüksek Giriş,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,20 TL,Hayır,Çankaya,Sokullu Mehmet Paşa,250.000 TL
28040-1207,29 Gün Önce,Satılık,Daire,2 + 1,80 m2,Giriş Katı,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Altındağ,Aydınlıkevler,315.000 TL
1468-9685,Bugün,Satılık,Daire,2 + 1,100 m2,Kot 2,40 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,,,Ev Sahibi Oturuyor,,35 TL,,Çankaya,Seyranbağları,215.000 TL
13848-3699,12 Gün Önce,Satılık,Daire,4 + 1,180 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),8 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Hayır,Sincan,Saraycık,427.000 TL
65431-8784,26 Gün Önce,Satılık,Daire,4 + 1,190 m2,5. Kat,3 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,,,,,,,Pursaklar,Fatih,775.000 TL
65409-424,11 Gün Önce,Satılık,Daire,3 + 1,150 m2,6. Kat,5 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Pursaklar,Merkez,439.000 TL
40210-2344,21 Gün Önce,Satılık,Daire,3 + 1,120 m2,2. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,30 TL,Hayır,Mamak,Kutlu,320.000 TL
2533-2223,5 Gün Önce,Satılık,Bina,4 + 1,210 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,70 TL,Hayır,Çankaya,Emek,1.250.000 TL
70180-2902,3 Gün Önce,Satılık,Daire,4 + 1,175 m2,12. Kat,Sıfır Bina,Kombi,13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Evet,Mamak,Durali Alıç,480.000 TL
119551-121,12 Gün Önce,Satılık,Daire,4 + 1,220 m2,14. Kat,Sıfır Bina,Merkezi,16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Evet,Keçiören,Yükseltepe,750.000 TL
119551-117,19 Gün Önce,Satılık,Daire,2 + 1,110 m2,5. Kat,16 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,1,,,,,,,Etimesgut,Eryaman,419.000 TL
10601-1766,Dün,Satılık,Daire,3 + 1,110 m2,Yüksek Giriş,36 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,650 TL,Hayır,Çankaya,Çankaya,416.000 TL
120023-67,14 Gün Önce,Satılık,Daire,4 + 1,150 m2,En Üst Kat,4 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,,,Kat Mülkiyeti,100 TL,Evet,Keçiören,Etlik,514.000 TL
47297-1921,8 Gün Önce,Satılık,Daire,4 + 1,205 m2,5. Kat,5 Yaşında,Merkezi,14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,500 TL,Hayır,Çankaya,Yaşamkent,1.340.000 TL
16167-914,14 Gün Önce,Satılık,Müstakil Ev,5 + 1,185 m2,,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,5 TL,Hayır,Yenimahalle,İlkyerleşim,424.000 TL
121676-186,19 Gün Önce,Satılık,Daire,4 + 1,155 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Sincan,Menderes,549.000 TL
3620-8689,Dün,Satılık,Villa,6 + 2,900 m2,,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,6,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Gölbaşı,Bahçelievler,2.550.000 TL
41553-5615,24 Gün Önce,Satılık,Daire,3 + 1,115 m2,1. Kat,19 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,,30 TL,Evet,Çankaya,İlkadım,338.000 TL
118478-120,4 Gün Önce,Satılık,Daire,2 + 1,85 m2,2. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,50 TL,Hayır,Yenimahalle,Gazi,550.000 TL
9614-2606,6 Gün Önce,Satılık,Daire,2 + 1,120 m2,3. Kat,5 Yaşında,Merkezi,29 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kiracı Oturuyor,Kat Mülkiyeti,350 TL,Hayır,Çankaya,İlkbahar,565.000 TL
61069-4316,29 Gün Önce,Satılık,Daire,3 + 1,145 m2,8. Kat,12 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,120 TL,Hayır,Yenimahalle,Yeni Batı,695.000 TL
41662-1090,15 Gün Önce,Satılık,Residence,1 + 1,100 m2,Kot 1,20 Yaşında,Merkezi,13 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,650 TL,Hayır,Çankaya,Büyükesat,720.000 TL
26491-3023,3 Gün Önce,Satılık,Daire,2 + 1,90 m2,Kot 2,45 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Çankaya,İncesu,185.000 TL
4480-21230,4 Gün Önce,Satılık,Daire,3 + 1,125 m2,1. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Hayır,Pursaklar,Merkez,263.000 TL
