İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
53138-8139,21 Gün Önce,Satılık,Daire,4 + 1,200 m2,3. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,Mamak,Mutlu,450.000 TL
50189-670,40 Gün Önce,Satılık,Daire,3 + 1,110 m2,Kot 1,35 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,30 TL,Hayır,Mamak,Saimekadın,120.000 TL
26004-15342,113 Gün Önce,Satılık,Daire,4 + 1,185 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,150 TL,Hayır,Keçiören,Ovacık,600.000 TL
3341-17461,Bugün,Satılık,Daire,3 + 1,125 m2,Kot 2,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Harbiye,389.000 TL
4583-14457,Bugün,Satılık,Daire,3 + 1,140 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,70 TL,Hayır,Çankaya,Sokullu Mehmet Paşa,639.000 TL
121128-383,13 Gün Önce,Satılık,Daire,3 + 1,110 m2,2. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Hayır,Mamak,Şahintepe,187.000 TL
33155-908,237 Gün Önce,Satılık,Daire,3 + 1,110 m2,1. Kat,30 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,20 TL,Hayır,Altındağ,Zübeyde Hanım,230.000 TL
14984-2590,26 Gün Önce,Satılık,Daire,3 + 1,125 m2,2. Kat,20 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Osman Temiz,437.000 TL
0-36955248,13 Gün Önce,Satılık,Daire,4 + 1,155 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,20 TL,Hayır,Mamak,Mutlu,370.000 TL
28851-14501,46 Gün Önce,Satılık,Daire,5 + 1,338 m2,3. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Etimesgut,İstasyon,450.000 TL
15126-3428,13 Gün Önce,Satılık,Daire,3 + 1,105 m2,Kot 1,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,,Mamak,General Zeki Doğan,120.000 TL
4180-6586,231 Gün Önce,Satılık,Daire,5 + 1,300 m2,4. Kat,6 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Boş,,50 TL,Evet,Çankaya,Şehit Cevdet Özdemir,710.000 TL
65739-15636,51 Gün Önce,Satılık,Daire,3 + 1,130 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Altındağ,Yıldıztepe,460.000 TL
118347-273,49 Gün Önce,Satılık,Daire,3 + 1,118 m2,Kot 2,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Keçiören,Çiçekli,135.000 TL
6464-9994,5 Gün Önce,Satılık,Daire,3 + 1,105 m2,Giriş Katı,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Huzur,300.000 TL
53138-7781,156 Gün Önce,Satılık,Daire,3 + 1,135 m2,1. Kat,2 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,Mamak,Şirintepe,330.000 TL
111476-258,237 Gün Önce,Satılık,Daire,3 + 1,125 m2,4. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Keçiören,İncirli,285.500 TL
28851-14549,Dün,Satılık,Daire,3 + 1,120 m2,1. Kat,11 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Etimesgut,İstasyon,298.000 TL
63021-5817,231 Gün Önce,Satılık,Daire,3 + 1,130 m2,Yüksek Giriş,25 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Harbiye,425.000 TL
95879-1330,148 Gün Önce,Satılık,Daire,1 + 1,70 m2,11. Kat,Sıfır Bina,Merkezi (Pay Ölçer),17 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,200 TL,,Yenimahalle,Mehmet Akif Ersoy,350.000 TL
92647-2083,41 Gün Önce,Satılık,Villa,5 + 1,650 m2,,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Etimesgut,Bağlıca,2.250.000 TL
31522-11048,Bugün,Satılık,Daire,2 + 1,100 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Yenimahalle,Pamuklar,350.000 TL
117908-103,133 Gün Önce,Satılık,Daire,3 + 1,150 m2,6. Kat,Sıfır Bina,Kombi,6 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Altındağ,Feridun Çelik,319.000 TL
113466-213,98 Gün Önce,Satılık,Daire,3 + 1,120 m2,2. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat İrtifakı,30 TL,Hayır,Mamak,Kazım Orbay,230.000 TL
53138-8069,47 Gün Önce,Satılık,Daire,3 + 1,120 m2,2. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,13,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Mamak,Mutlu,255.000 TL
37328-542,233 Gün Önce,Satılık,Daire,4 + 1,140 m2,Yüksek Giriş,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Kiracı Oturuyor,Kat Mülkiyeti,,,Çankaya,Seyranbağları,278.000 TL
52225-6706,14 Gün Önce,Satılık,Daire,3 + 1,120 m2,2. Kat,30 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Naci Çakır,350.000 TL
53646-6411,75 Gün Önce,Satılık,Daire,4 + 1,185 m2,9. Kat,Sıfır Bina,Merkezi (Pay Ölçer),26 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Etimesgut,Göksu,1.700.000 TL
41594-1265,75 Gün Önce,Satılık,Daire,3 + 1,160 m2,4. Kat,Sıfır Bina,Kombi,16 Katlı,Uygun,Eşyalı Değil,2,,,,,,,Mamak,Fahri Korutürk,405.000 TL
12890-4898,78 Gün Önce,Satılık,Daire,4 + 1,220 m2,6. Kat,Sıfır Bina,Merkezi (Pay Ölçer),6 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Sincan,Mustafa Kemal,475.000 TL
1612-2599,236 Gün Önce,Satılık,Daire,3 + 1,100 m2,Kot 1,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,,,Çankaya,Murat,198.000 TL
14912-3362,119 Gün Önce,Satılık,Daire,4 + 1,185 m2,Yüksek Giriş,2 Yaşında,Merkezi,17 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,,,Evet,Yenimahalle,Avcılar,440.000 TL
31522-12303,21 Gün Önce,Satılık,Daire,2 + 1,90 m2,Kot 1,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Keçiören,Ayvalı,299.000 TL
77293-4098,17 Gün Önce,Satılık,Daire,3 + 1,137 m2,6. Kat,8 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,165 TL,Hayır,Etimesgut,Atayurt,245.000 TL
16429-600,56 Gün Önce,Satılık,Daire,3 + 1,120 m2,Bahçe Katı,16 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,20 TL,Hayır,Etimesgut,Topçu,200.000 TL
37328-625,233 Gün Önce,Satılık,Daire,5 + 1,300 m2,2. Kat,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,,,,,Çankaya,Gaziosmanpaşa,650.000 TL
65739-15701,44 Gün Önce,Satılık,Daire,3 + 1,110 m2,Yüksek Giriş,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Keçiören,Hasköy,220.000 TL
121003-466,23 Gün Önce,Satılık,Daire,3 + 1,125 m2,Giriş Katı,20 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Evet,Keçiören,Etlik,260.000 TL
0-36966441,11 Gün Önce,Satılık,Daire,3 + 1,135 m2,5. Kat,21 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,1,,,,,300 TL,Hayır,Yenimahalle,Uğur Mumcu,445.000 TL
16149-2616,49 Gün Önce,Satılık,Daire,3 + 1,130 m2,2. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Mamak,Demirlibahçe,190.000 TL
91270-1297,Bugün,Satılık,Daire,3 + 1,120 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,,Mamak,General Zeki Doğan,263.000 TL
66820-2873,77 Gün Önce,Satılık,Daire,2 + 1,90 m2,Bahçe Katı,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Naci Çakır,189.000 TL
53138-7859,134 Gün Önce,Satılık,Daire,3 + 1,110 m2,2. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Mamak,Şahintepe,229.000 TL
122475-62,12 Gün Önce,Satılık,Daire,2 + 1,95 m2,Kot 3,19 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,1 TL,Evet,Mamak,Şafaktepe,94.000 TL
15878-12334,61 Gün Önce,Satılık,Daire,4 + 1,225 m2,5. Kat,1 Yaşında,Kombi,15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Keçiören,Yükseltepe,660.000 TL
4180-8251,38 Gün Önce,Satılık,Daire,4 + 1,200 m2,1. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,Çankaya,Akpınar,750.000 TL
16761-27959,49 Gün Önce,Satılık,Daire,2 + 1,110 m2,2. Kat,22 Yaşında,Merkezi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,310 TL,Hayır,Çankaya,Naci Çakır,319.000 TL
53138-8016,64 Gün Önce,Satılık,Daire,3 + 1,155 m2,5. Kat,Sıfır Bina,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Mamak,Fahri Korutürk,300.000 TL
6209-2014,92 Gün Önce,Satılık,Daire,3 + 1,120 m2,Yüksek Giriş,35 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,,,,,,,Çankaya,Bahçelievler,520.000 TL
0-36918265,21 Gün Önce,Satılık,Daire,1 + 1,80 m2,8. Kat,3 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,"145,000 TL",Hayır,Etimesgut,Şehit Osman Avcı,395.000 TL
114844-340,63 Gün Önce,Satılık,Daire,4 + 1,230 m2,5. Kat,4 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,,Etimesgut,Bağlıca,1.400.000 TL
10557-2694,118 Gün Önce,Satılık,Daire,5 + 1,275 m2,4. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,125 TL,Hayır,Çankaya,Karapınar,485.000 TL
89526-773,282 Gün Önce,Satılık,Daire,3 + 1,115 m2,Bahçe Katı,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,20 TL,Evet,Sincan,Mareşal Çakmak,117.000 TL
121018-73,12 Gün Önce,Satılık,Daire,1 + 1,70 m2,21 ve üzeri,2 Yaşında,Merkezi,25 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat İrtifakı,205 TL,Evet,Yenimahalle,Turgut Özal,285.000 TL
119882-1055,9 Gün Önce,Satılık,Daire,3 + 1,105 m2,1. Kat,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,25 TL,Hayır,Etimesgut,Etiler,233.000 TL
40002-452,12 Gün Önce,Satılık,Daire,3 + 1,125 m2,En Üst Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,50 TL,Evet,Çankaya,Zafertepe,459.000 TL
114804-1447,36 Gün Önce,Satılık,Daire,2 + 1,105 m2,Yüksek Giriş,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,Mamak,General Zeki Doğan,165.000 TL
73018-1217,6 Gün Önce,Satılık,Daire,3 + 1,115 m2,Giriş Katı,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Hayır,Pursaklar,Mimar Sinan,178.000 TL
66820-2949,33 Gün Önce,Satılık,Daire,3 + 1,125 m2,2. Kat,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Naci Çakır,438.000 TL
70969-2783,51 Gün Önce,Satılık,Daire,3 + 1,135 m2,Kot 3,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Ev Sahibi Oturuyor,Kat Mülkiyeti,,,Keçiören,Pınarbaşı,110.000 TL
59864-2921,164 Gün Önce,Satılık,Daire,3 + 1,140 m2,5. Kat,3 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,Mamak,Cengizhan,385.000 TL
0-36918041,21 Gün Önce,Satılık,Daire,3 + 1,130 m2,2. Kat,20 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,550 TL,Hayır,Çankaya,Konutkent,859.000 TL
92647-2114,14 Gün Önce,Satılık,Daire,4 + 1,210 m2,8. Kat,190 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Etimesgut,Bağlıca,1.259.000 TL
27475-525,240 Gün Önce,Satılık,Daire,3 + 1,120 m2,Giriş Katı,35 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,325 TL,Hayır,Çankaya,Ayrancı,395.000 TL
3493-25220,49 Gün Önce,Satılık,Daire,2 + 1,110 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Sokullu Mehmet Paşa,293.000 TL
118875-58,194 Gün Önce,Satılık,Daire,3 + 1,120 m2,3. Kat,40 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Mamak,Balkiraz,370.000 TL
5235-8558,35 Gün Önce,Satılık,Daire,6 + 1,320 m2,3. Kat,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,Çankaya,Hilal,720.000 TL
692606-641,95 Gün Önce,Satılık,Daire,3 + 1,120 m2,1. Kat,15 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Pursaklar,Saray Cumhuriyet,260.000 TL
81538-100,312 Gün Önce,Satılık,Villa,6 + 2,650 m2,,20 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,Mamak,Karşıyaka,700.000 TL
114841-395,22 Gün Önce,Satılık,Villa,4 + 2,400 m2,,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,,Sıfır,Boş,Kat Mülkiyeti,,,Etimesgut,Bağlıca,1.400.000 TL
692609-3985,9 Gün Önce,Satılık,Daire,2 + 1,90 m2,Yüksek Giriş,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Etimesgut,Eryaman,260.000 TL
10557-2513,19 Gün Önce,Satılık,Daire,2 + 1,95 m2,Kot 1,13 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,50 TL,Hayır,Çankaya,Karapınar,199.000 TL
8679-1366,177 Gün Önce,Satılık,Daire,2 + 1,90 m2,Bahçe Katı,25 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,,145 TL,Hayır,Keçiören,Emrah,190.000 TL
119882-1007,20 Gün Önce,Satılık,Daire,3 + 1,126 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,25 TL,Hayır,Etimesgut,İstasyon,315.000 TL
0-36912334,22 Gün Önce,Satılık,Daire,3 + 1,120 m2,Yüksek Giriş,25 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,Yenimahalle,İnönü,350.000 TL
121174-49,129 Gün Önce,Satılık,Daire,3 + 1,115 m2,1. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Kagir,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,25 TL,Hayır,Mamak,Aşık Veysel,240.000 TL
92647-2104,26 Gün Önce,Satılık,Daire,4 + 1,190 m2,3. Kat,Sıfır Bina,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,Etimesgut,Bağlıca,925.000 TL
