İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
67085-874,219 Gün Önce,Satılık,Daire,2 + 1,85 m2,Zemin,32 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,25 TL,Hayır,Keçiören,Şenlik,168.000 TL
16354-20998,9 Gün Önce,Satılık,Daire,2 + 1,126 m2,Kot 1,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Keçiören,Şehit Kubilay,179.000 TL
91527-8880,13 Gün Önce,Satılık,Daire,3 + 1,130 m2,2. Kat,23 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,40 TL,Evet,Çankaya,İlkadım,570.000 TL
36851-15612,13 Gün Önce,Satılık,Daire,2 + 1,80 m2,Giriş Katı,20 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Şehit Cevdet Özdemir,188.000 TL
121128-429,12 Gün Önce,Satılık,Daire,3 + 1,105 m2,1. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Hayır,Mamak,Harman,309.000 TL
46377-6812,17 Gün Önce,Satılık,Daire,4 + 1,250 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat İrtifakı,30 TL,Hayır,Mamak,Mutlu,299.000 TL
114804-1846,13 Gün Önce,Satılık,Daire,3 + 1,130 m2,Giriş Katı,13 Yaşında,Kombi,1 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,Mamak,Peyami Safa,265.000 TL
88892-938,231 Gün Önce,Satılık,Daire,2 + 1,110 m2,2. Kat,40 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,370 TL,Hayır,Çankaya,Kocatepe,320.000 TL
3341-17447,16 Gün Önce,Satılık,Daire,3 + 1,120 m2,1. Kat,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Aydınlar,450.000 TL
36851-15505,14 Gün Önce,Satılık,Daire,3 + 1,120 m2,2. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Sokullu Mehmet Paşa,419.000 TL
12148-1283,260 Gün Önce,Satılık,Daire,3 + 1,85 m2,2. Kat,40 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Boş,,,,Çankaya,Aziziye,345.000 TL
111749-731,9 Gün Önce,Satılık,Daire,4 + 1,200 m2,11. Kat,2 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,Yenimahalle,Yeni Batı,960.000 TL
11098-1878,63 Gün Önce,Satılık,Daire,4 + 1,225 m2,2. Kat,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,Çankaya,İlkbahar,1.050.000 TL
26491-2979,92 Gün Önce,Satılık,Daire,3 + 1,130 m2,Kot 2,40 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,İncesu,250.000 TL
101486-1159,17 Gün Önce,Satılık,Daire,4 + 1,170 m2,6. Kat,10 Yaşında,Kombi,12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Keçiören,Kafkas,385.000 TL
65739-15837,29 Gün Önce,Satılık,Daire,3 + 1,140 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Altındağ,Ulubey,370.000 TL
115296-208,234 Gün Önce,Satılık,Daire,3 + 1,155 m2,5. Kat,Sıfır Bina,Kombi,12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Mamak,Fahri Korutürk,360.000 TL
118125-61,78 Gün Önce,Satılık,Daire,3 + 1,120 m2,3. Kat,35 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Kavaklıdere,485.000 TL
116169-133,138 Gün Önce,Satılık,Daire,4 + 1,220 m2,15. Kat,4 Yaşında,Kombi,15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,,200 TL,Evet,Keçiören,Sancaktepe,739.000 TL
16761-28060,2 Gün Önce,Satılık,Daire,2 + 1,115 m2,Kot 1,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,25 TL,Evet,Çankaya,Öveçler,268.000 TL
31522-12200,27 Gün Önce,Satılık,Daire,3 + 1,135 m2,1. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Evet,Keçiören,Etlik,425.000 TL
36851-15473,13 Gün Önce,Satılık,Daire,3 + 1,130 m2,2. Kat,14 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Gökkuşağı,455.000 TL
