İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Semt,Mahalle,Fiyat
47683-1993,Bugün,Satılık,Bina,2 + 1,"
                          100 m2
                        ",,28 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Doğu,,Doğalgaz,,Mamak,Abidinpaşa,160.000 TL
2533-2288,Bugün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",Giriş Katı,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,Hayır,"Kuzey, Batı",,Doğalgaz,Evet,Çankaya,Bahçelievler,1.100.000 TL
124835-6,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",Yüksek Giriş,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",1.200 TL,Doğalgaz,Evet,Keçiören,23 Nisan,300.000 TL
37602-2392,Bugün,Satılık,Daire,4 + 1,"
                          287 m2
                        ",Ara Kat,2 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,,,Güney,,Doğalgaz,Evet,Çankaya,Beytepe,2.750.000 TL
53451-1481,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",1. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Boş,Kat Mülkiyeti,30 TL,Hayır,1.600 TL,Doğalgaz,,Evet,,,Yenimahalle,Tepealtı,510.000 TL
7458-26,Bugün,Satılık,Daire,4 + 1,"
                          150 m2
                        ",3. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Doğu,,,Evet,Mamak,Boğaziçi,255.000 TL
7701-1780,Bugün,Satılık,Daire,4 + 1,"
                          160 m2
                        ",4. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Batı",2.500 TL,Doğalgaz,Evet,Çankaya,Mürsel Uluç,790.000 TL
41304-2525,Bugün,Satılık,Daire,2 + 1,"
                          90 m2
                        ",1. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Hayır,,1.700 TL,Doğalgaz,Evet,Çankaya,Bahçelievler,475.000 TL
3584-26274,Bugün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",Bahçe Katı,35 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,,,"Güney, Doğu",,Doğalgaz,Evet,Çankaya,Bahçelievler,340.000 TL
4666-993,Bugün,Satılık,Daire,3 + 1,"
                          155 m2
                        ",4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,,,4.000 TL,Doğalgaz,,Çankaya,Bahçelievler,1.350.000 TL
91270-1698,Bugün,Satılık,Daire,3 + 1,"
                          105 m2
                        ",1. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,20 TL,Hayır,"Güney, Doğu, Batı",,Doğalgaz,Evet,Mamak,Misket,254.000 TL
44716-7023,Bugün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",2. Kat,4 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,,100 TL,Hayır,"Güney, Doğu",,Doğalgaz,Evet,Mamak,Durali Alıç,489.000 TL
3493-26435,Bugün,Satılık,Daire,4 + 1,"
                          145 m2
                        ",2. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,"Güney, Doğu",,Doğalgaz,Evet,Çankaya,Harbiye,535.000 TL
14072-11595,Bugün,Satılık,Daire,2 + 1,"
                          115 m2
                        ",1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Hayır,"Kuzey, Doğu",1.750 TL,Doğalgaz,Evet,Çankaya,Osman Temiz,439.000 TL
16761-28738,Bugün,Satılık,Daire,2 + 1,"
                          105 m2
                        ",Kot 2,22 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,35 TL,Evet,Doğu,1.600 TL,Doğalgaz,Evet,Çankaya,Osman Temiz,298.000 TL
91527-9454,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",3. Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,"Kuzey, Doğu",1.650 TL,Doğalgaz,Evet,Çankaya,Sokullu Mehmet Paşa,465.000 TL
12890-5053,Bugün,Satılık,Daire,4 + 2,"
                          165 m2
                        ",Yüksek Giriş,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,25 TL,Hayır,"Güney, Doğu, Batı",1.600 TL,Doğalgaz,,Etimesgut,Topçu,279.500 TL
3483-3878,Bugün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",3. Kat,25 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,400 TL,Evet,"Güney, Doğu",4.500 TL,Doğalgaz,Evet,Çankaya,Ayrancı,735.000 TL
121699-248,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",2. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,35 TL,Evet,"Kuzey, Güney, Doğu, Batı",1.500 TL,Doğalgaz,Evet,Yenimahalle,Pamuklar,249.000 TL
16354-21273,Bugün,Satılık,Daire,5 + 1,"
                          220 m2
                        ",1. Kat,3 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,Keçiören,Şehit Kubilay,519.000 TL
31522-12719,Bugün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",Kot 1,21 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu",,Doğalgaz,Evet,Keçiören,Aşağı Eğlence,245.000 TL
72190-1158,Bugün,Satılık,Daire,3 + 1,"
                          100 m2
                        ",Giriş Katı,45 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,Kat Mülkiyeti,100 TL,Hayır,Doğu,1.200 TL,Doğalgaz,Evet,Çankaya,Umut,240.000 TL
