Hatane
19 Mayıs Hastanesi
29 Mayıs Devlet Hastanesi
75.Yıl Ağız ve Diş Sağlığı Merkezi
A Life Hospital
Acıbadem Hastanesi
"Akay Hastanesi, Kavaklıdere"
Akropol Hastanesi
Ankara Akyurt Devlet Hastanesi
Ankara Atatürk Göğüs Hastalıkları ve Göğüs Cerrahisi Eğitim ve Araştırma Hastanesi
Ankara Dr. Zekai Tahir Burak Kadın Sağlığı Eğitim ve Araştırma Hastanesi
Ankara Eğitim ve Araştırma Hastanesi
Ankara Fizik Tedavi ve Rehabilitasyon Eğitim ve Araştırma Hastanesi
Ankara Gaziler Fizik Tedavi ve Rehabilitasyon Eğitim Araştırma Hastanesi
Ankara Gölbaşı Şehit Ahmet Özsoy Devlet Hastanesi
Ankara Maya Göz Merkezi
Ankara Mesleki ve Çevresel Hastalıklar Hastanesi
Ankara Ulucanlar Göz Eğitim ve Araştırma Hastanesi
Ankara Yıldırım Beyazıt Üniversitesi Diş Hekimliği Fakültesi Tepebaşı Ağız ve Diş Sağlığı Merkezi
Ankara Üniversitesi Tıp Fakültesi Cebeci Araştırma ve Uygulama Hastanesi
Ankara Üniversitesi Tıp Fakültesi İbni Sina Araştırma ve Uygulama Hastanesi
Ankara Şehir Hastanesi
Ankasu Göz Hastanesi
Bala İlçe Entegre Devlet Hastanesi
Balgat Ağız ve Diş Sağlığı Merkezi
Bayındır Hastanesi
Başkent Üniversitesi Ankara Hastanesi
Beypazarı Devlet Hastanesi
Beytepe Murat Erdi Eker Devlet Hastanesi
Bilgi Hastanesi
Boylam Psikiyatri Hastanesi
Dent Ankara Ağız ve Diş Hastanesi
Dr. Abdurrahman Yurtaslan Ankara Onkoloji Eğitim ve Araştırma Hastanesi
Dr. Hulusi Alataş Elmadağ Devlet Hastanesi
Dr. Nafiz Körez Sincan Devlet Hastanesi
"Dr. Sami Ulus Kadın Doğum, Çocuk Sağlığı ve Hastalıkları Eğitim ve Araştırma Hastanesi"
Dünya Göz Hastanesi
Dünya Göz Hastanesi
Dünya Göz Hastanesi
Dışkapı Yıldırım Beyazıt Eğitim Ve Araştırma Hastanesi
Eryaman Hastanesi
Etimed Hastanesi
Etimesgut Ağız Diş Sağlığı Merkezi
Etimesgut Şehit Sait Ertürk Devlet Hastanesi
Etlik Zübeyde Hanım Kadın Hastalıkları Eğitim ve Araştırma Hastanesi
Gazi Mustafa Kemal Devlet Hastanesi
Gazi Üniversitesi Tıp Fakültesi Gazi Hastanesi
Gölbaşı Ağız ve Diş Sağlığı Merkezi
Güdül İlçe Entegre Devlet Hastanesi
Gülhane Eğitim ve Araştırma Hastanesi
Güven Hastanesi
Hacettepe Üniversitesi Beytepe Gün Hastanesi
Hacettepe Üniversitesi Erişkin Hastanesi
Hacettepe Üniversitesi İhsan Doğramacı Çocuk Hastanesi
Hacettepe Üniversitesi Onkoloji Hastanesi
Halil Şıvgın Çubuk Devlet Hastanesi
Haymana Devlet Hastanesi
HRS Kadın Hastalıkları ve Doğum Hastanesi
İncek Fizik Tedavi ve Rehabilitasyon Hastanesi
Kahramankazan Devlet Hastanesi
Kalecik İlçe Entegre Devlet Hastanesi
Karapürçek Ağız ve Diş Sağlığı Merkezi
Kavaklıdere Umut Hastanesi
Keçiören Hastanesi
Keçiören Osmanlı Ağız ve Diş Sağlığı Merkezi
Koru Hastanesi
Koru Hastanesi
Kudret Göz Hastanesi
Kudret İnternational Hastanesi
Kızılcahamam Devlet Hastanesi
Liv Hospital
Lokman Hekim Hastanesi
Lokman Hekim Hastanesi
Lösante Hastanesi
Magnet Hastanesi
Mamak Ağız ve Diş Sağlığı Merkezi
Medical Park
Medicana International Hastanesi
Medisun Hastanesi
Memorial Hastanesi
Miadent Ağız ve Diş Hastanesi
Mim Hastanesi
Mutludent Ağız ve Diş Hastanesi
Nallıhan Devlet Hastanesi
Natomed Hastanesi
Odak Göz Hastanesi
Ortadoğu Hastanesi
Polatlı Duatepe Devlet Hastanesi
Pursaklar Ağız ve Diş Sağlığı Merkezi
Sağlık Bilimleri Üniversitesi Ankara Keçiören Eğitim Araştırma Hastanesi
Sincan Ağız ve Diş Sağlığı Merkezi
TOBB ETÜ Hastanesi
Topraklık Ağız ve Diş Sağlığı Merkezi
Turkuaz Göz Hastalıkları Merkezi
Ufuk Üniversitesi Dr. Rıdvan Ege Hastanesi
Umut Hastanesi
Vegadent Ağız ve Diş Hastanesi
Yenimahalle Yıldırım Beyazıt Eğitim ve Araştırma Hastanesi
Yüzüncüyıl Hastanesi
Çankaya Doruk Hastanesi
Çankaya Hastanesi
Özkaya Tıp Merkezi
Şereflikoçhisar Devlet Hastanesi
