Semt,Mahalle
Sincan,Yenikent
Sincan,Yenipeçenek
Sincan,Yunus Emre
Yenimahalle,Anadolu
Yenimahalle,Aşağıyahyalar
Yenimahalle,Ata
Yenimahalle,Atatürk Orman Çiftliği
Yenimahalle,Avcılar
Yenimahalle,Barış
Yenimahalle,Barıştepe
Yenimahalle,Batı Sitesi
Yenimahalle,Batıkent
Yenimahalle,Beştepe
Yenimahalle,Burç
Yenimahalle,Çamlıca
Yenimahalle,Çarşı
Yenimahalle,Çiğdemtepe
Yenimahalle,Demetevler
Yenimahalle,Demetgül
Yenimahalle,Demetlale
Yenimahalle,Emniyet
Yenimahalle,Ergazi
Yenimahalle,Ergenekon
Yenimahalle,Esentepe
Yenimahalle,Gayret
Yenimahalle,Gazi
Yenimahalle,Güventepe
Yenimahalle,Güzelyaka
Yenimahalle,Işınlar
Yenimahalle,İlkyerleşim
Yenimahalle,İnönü
Yenimahalle,İvedik
Yenimahalle,Kaletepe
Yenimahalle,Karacakaya
Yenimahalle,Kardelen
Yenimahalle,Karşıyaka
Yenimahalle,Kayalar
Yenimahalle,Kent-Koop
Yenimahalle,Kuzey Yıldızı
Yenimahalle,Macun
Yenimahalle,Mehmet Akif Ersoy
Yenimahalle,Memlik
Yenimahalle,Ostim
Yenimahalle,Özevler
Yenimahalle,Pamuklar
Yenimahalle,Ragıp Tüzün
Yenimahalle,Serhat
Yenimahalle,Susuz
Yenimahalle,Şentepe
Yenimahalle,Tepealtı
Yenimahalle,Turgut Özal
Yenimahalle,Uğur Mumcu
Yenimahalle,Varlık
Yenimahalle,Yakacık
Yenimahalle,Yenibatı
Yenimahalle,Yeniçağ
Yenimahalle,Yeşilevler
Yenimahalle,Yirmibeş Mart
Yenimahalle,Yukarıyahyalar
Yenimahalle,Yunus Emre
Yenimahalle,Yuva
